"Date";"Player";"Bet";"Chance";"Result";"Paid_ETH";"Paid_USD";"ID"
"2017-04-24 10:34:19";"Intermediate #2758";0.5;80;"lost";"-";"-";1
"2017-04-24 09:17:15";"Professional #2729";1.18;44;"lost";"-";"-";2
"2017-04-24 09:15:28";"Professional #2729";2.0;53;"lost";"-";"-";3
"2017-04-24 09:13:28";"Professional #2729";2.0;53;"lost";"-";"-";4
"2017-04-24 08:56:14";"Professional #2729";1.54;47;"won";"3.314 Eth";"$ 2,550.03";5
"2017-04-24 08:53:24";"Professional #2729";2.0;53;"won";"3.808 Eth";"$ 2,929.60";6
"2017-04-24 08:48:49";"Professional #2729";1.9;51;"won";"3.762 Eth";"$ 2,894.45";7
"2017-04-24 08:46:19";"Professional #2729";1.87;65;"won";"2.893 Eth";"$ 2,225.58";8
"2017-04-24 08:42:58";"Professional #2729";2.0;52;"won";"3.882 Eth";"$ 2,987.04";9
"2017-04-24 08:41:22";"Professional #2729";0.53;27;"lost";"-";"-";10
"2017-04-24 08:39:40";"Professional #2729";1.71;49;"won";"3.527 Eth";"$ 2,713.54";11
"2017-04-24 08:35:23";"Professional #2729";1.8;49;"won";"3.713 Eth";"$ 2,856.36";12
"2017-04-24 08:33:23";"Professional #2729";1.96;52;"won";"3.805 Eth";"$ 2,927.30";13
"2017-04-24 08:31:30";"Professional #2729";2.0;52;"lost";"-";"-";14
"2017-04-24 08:27:39";"Professional #2729";0.5;28;"lost";"-";"-";15
"2017-04-24 08:27:39";"Professional #2793";0.2;81;"won";"0.248 Eth";"$ 190.42";16
"2017-04-24 08:25:04";"Professional #2729";0.5;28;"lost";"-";"-";17
"2017-04-24 08:17:53";"Professional #2793";0.2;81;"won";"0.248 Eth";"$ 190.42";18
"2017-04-24 08:15:57";"Professional #2793";0.2;81;"won";"0.248 Eth";"$ 190.42";19
"2017-04-24 08:13:07";"Professional #2793";0.5;81;"lost";"-";"-";20
"2017-04-24 08:09:56";"Professional #2793";0.2;81;"lost";"-";"-";21
"2017-04-24 07:48:48";"Intermediate #2811";0.46;47;"won";"0.990 Eth";"$ 761.70";22
"2017-04-24 07:46:49";"Intermediate #2811";0.3;43;"lost";"-";"-";23
"2017-04-24 07:43:04";"Intermediate #2811";0.1;59;"lost";"-";"-";24
"2017-04-24 07:40:44";"Intermediate #2811";0.1;51;"lost";"-";"-";25
"2017-04-24 07:39:10";"Intermediate #2811";0.1;51;"lost";"-";"-";26
"2017-04-24 07:38:12";"Intermediate #2811";0.1;51;"lost";"-";"-";27
"2017-04-24 07:37:12";"Professional #2740";1.6;51;"lost";"-";"-";28
"2017-04-24 07:36:44";"Intermediate #2811";0.1;51;"lost";"-";"-";29
"2017-04-24 07:35:22";"Professional #2740";1.6;51;"lost";"-";"-";30
"2017-04-24 07:34:50";"Professional #2791";5.0;91;"won";"5.500 Eth";"$ 4,231.65";31
"2017-04-24 07:34:34";"Intermediate #2811";0.15;51;"won";"0.297 Eth";"$ 228.51";32
"2017-04-24 07:33:40";"Professional #2740";0.8;51;"lost";"-";"-";33
"2017-04-24 07:32:52";"Professional #2791";9.0;90;"won";"10.011 Eth";"$ 7,702.54";34
"2017-04-24 07:31:50";"Professional #2740";0.4;51;"lost";"-";"-";35
"2017-04-24 07:29:07";"Professional #2791";8.0;89;"won";"9.000 Eth";"$ 6,924.51";36
"2017-04-24 07:27:30";"Professional #2740";0.2;51;"lost";"-";"-";37
"2017-04-24 07:26:17";"Professional #2791";7.0;87;"won";"8.058 Eth";"$ 6,199.85";38
"2017-04-24 07:24:57";"Professional #2740";0.1;51;"lost";"-";"-";39
"2017-04-24 07:23:56";"Professional #2791";6.0;86;"won";"6.988 Eth";"$ 5,376.68";40
"2017-04-24 07:22:52";"Professional #2740";0.2;51;"won";"0.396 Eth";"$ 304.68";41
"2017-04-24 07:22:15";"Lucky #2812";0.1;51;"won";"0.198 Eth";"$ 152.34";42
"2017-04-24 07:22:15";"Professional #2791";5.0;84;"won";"5.964 Eth";"$ 4,588.53";43
"2017-04-24 07:21:27";"Professional #2740";0.1;51;"lost";"-";"-";44
"2017-04-24 07:20:07";"Professional #2740";0.2;51;"won";"0.396 Eth";"$ 304.68";45
"2017-04-24 07:19:33";"Intermediate #2811";0.1;60;"lost";"-";"-";46
"2017-04-24 07:18:15";"Professional #2740";0.1;51;"lost";"-";"-";47
"2017-04-24 07:17:22";"Intermediate #2811";0.1;67;"won";"0.150 Eth";"$ 115.41";48
"2017-04-24 07:15:46";"Professional #2740";0.2;51;"won";"0.396 Eth";"$ 304.68";49
"2017-04-24 07:15:46";"Lucky #2812";0.1;51;"won";"0.198 Eth";"$ 152.34";50
"2017-04-24 07:14:59";"Intermediate #2811";0.1;66;"lost";"-";"-";51
"2017-04-24 07:13:50";"Professional #2740";0.1;51;"lost";"-";"-";52
"2017-04-24 07:13:11";"Intermediate #2811";0.1;57;"won";"0.177 Eth";"$ 136.02";53
"2017-04-24 07:12:00";"Intermediate #2811";0.1;56;"lost";"-";"-";54
"2017-04-24 07:09:22";"Intermediate #2811";0.1;56;"won";"0.180 Eth";"$ 138.49";55
"2017-04-24 07:08:26";"Professional #2791";5.0;91;"lost";"-";"-";56
"2017-04-24 07:07:48";"Intermediate #2811";0.1;66;"won";"0.152 Eth";"$ 117.18";57
"2017-04-24 07:05:00";"Professional #2791";7.0;91;"won";"7.700 Eth";"$ 5,924.30";58
"2017-04-24 07:03:18";"Intermediate #2811";0.1;66;"lost";"-";"-";59
"2017-04-24 07:02:51";"Professional #2791";7.0;91;"won";"7.700 Eth";"$ 5,924.30";60
"2017-04-24 07:01:34";"Professional #2740";0.1;50;"won";"0.202 Eth";"$ 155.45";61
"2017-04-24 07:00:04";"Professional #2791";7.0;91;"won";"7.700 Eth";"$ 5,924.30";62
"2017-04-24 06:58:39";"Professional #2740";1.8;50;"won";"3.637 Eth";"$ 2,798.07";63
"2017-04-24 06:56:59";"Intermediate #2811";0.1;57;"won";"0.177 Eth";"$ 136.02";64
"2017-04-24 06:55:45";"Professional #2740";1.2;50;"lost";"-";"-";65
"2017-04-24 06:55:45";"Professional #2791";5.0;90;"won";"5.562 Eth";"$ 4,279.19";66
"2017-04-24 06:53:06";"Professional #2791";12.0;96;"won";"12.505 Eth";"$ 9,621.42";67
"2017-04-24 06:53:06";"Professional #2740";0.6;50;"lost";"-";"-";68
"2017-04-24 06:51:16";"Professional #2740";0.3;50;"lost";"-";"-";69
"2017-04-24 06:50:07";"Professional #2791";10.0;91;"won";"11.000 Eth";"$ 8,463.29";70
"2017-04-24 06:48:50";"Professional #2740";0.1;50;"lost";"-";"-";71
"2017-04-24 06:47:46";"Professional #2791";10.0;91;"won";"11.000 Eth";"$ 8,463.29";72
"2017-04-24 06:45:26";"Professional #2740";0.2;50;"won";"0.404 Eth";"$ 310.90";73
"2017-04-24 06:44:35";"Professional #2791";8.0;91;"won";"8.800 Eth";"$ 6,770.63";74
"2017-04-24 06:43:12";"Professional #2740";0.1;89;"lost";"-";"-";75
"2017-04-24 06:43:07";"Lucky #2726";0.1;51;"won";"0.198 Eth";"$ 152.34";76
"2017-04-24 06:41:51";"Professional #2791";6.0;92;"won";"6.527 Eth";"$ 5,022.17";77
"2017-04-24 06:40:21";"Professional #2740";0.1;50;"won";"0.202 Eth";"$ 155.45";78
"2017-04-24 06:40:21";"Professional #2791";6.0;92;"won";"6.527 Eth";"$ 5,022.17";79
"2017-04-24 06:38:41";"Newbie #2810";0.1;75;"lost";"-";"-";80
"2017-04-24 06:34:43";"Professional #2791";7.7;94;"won";"8.197 Eth";"$ 6,306.52";81
"2017-04-24 06:32:55";"Intermediate #2808";0.1;49;"won";"0.206 Eth";"$ 158.69";82
"2017-04-24 06:31:20";"Professional #2791";4.0;85;"won";"4.714 Eth";"$ 3,627.12";83
"2017-04-24 06:31:20";"Intermediate #2808";0.1;49;"won";"0.206 Eth";"$ 158.69";84
"2017-04-24 06:28:46";"Professional #2791";4.0;85;"won";"4.714 Eth";"$ 3,627.12";85
"2017-04-24 06:24:14";"Professional #2791";4.0;85;"won";"4.714 Eth";"$ 3,627.12";86
"2017-04-24 06:22:35";"Professional #2740";0.1;51;"won";"0.198 Eth";"$ 152.34";87
"2017-04-24 06:21:46";"Intermediate #2808";0.1;50;"won";"0.202 Eth";"$ 155.45";88
"2017-04-24 06:21:14";"Professional #2791";4.7;85;"won";"5.539 Eth";"$ 4,261.87";89
"2017-04-24 06:20:38";"Intermediate #2792";0.3;77;"won";"0.391 Eth";"$ 300.67";90
"2017-04-24 06:20:18";"Professional #2740";0.2;51;"won";"0.396 Eth";"$ 304.68";91
"2017-04-24 06:19:25";"Intermediate #2808";0.1;50;"won";"0.202 Eth";"$ 155.45";92
"2017-04-24 06:19:04";"Professional #2791";3.8;80;"won";"4.762 Eth";"$ 3,663.85";93
