"Date";"Player";"Bet";"Chance";"Result";"Paid_ETH";"Paid_USD";"ID"
"2017-05-18 01:35:21";"Professional #2924";12.0;51;"won";"23.760 Eth";"$ 18,280.71";1
"2017-05-18 01:33:04";"All in #2922";12.0;50;"won";"24.245 Eth";"$ 18,653.78";2
"2017-05-18 01:32:30";"Professional #2924";13.0;51;"won";"25.740 Eth";"$ 19,804.10";3
"2017-05-18 01:31:33";"All in #2922";12.0;50;"won";"24.245 Eth";"$ 18,653.78";4
"2017-05-18 01:30:56";"Professional #2924";13.0;51;"won";"25.740 Eth";"$ 19,804.10";5
"2017-05-18 01:29:16";"All in #2922";12.0;53;"won";"22.846 Eth";"$ 17,577.60";6
"2017-05-18 01:28:33";"Professional #2924";13.0;50;"won";"26.265 Eth";"$ 20,208.26";7
"2017-05-18 01:28:04";"Professional #2924";13.0;50;"won";"26.265 Eth";"$ 20,208.26";8
"2017-05-18 01:28:04";"All in #2922";10.0;53;"won";"19.038 Eth";"$ 14,648.00";9
"2017-05-18 01:27:11";"Professional #2924";13.0;50;"won";"26.265 Eth";"$ 20,208.26";10
"2017-05-18 01:26:17";"Professional #2924";13.0;50;"won";"26.265 Eth";"$ 20,208.26";11
"2017-05-18 01:26:17";"All in #2922";7.0;52;"won";"13.588 Eth";"$ 10,454.65";12
"2017-05-18 01:24:51";"Professional #2924";8.0;50;"won";"16.163 Eth";"$ 12,435.85";13
"2017-05-18 01:23:52";"All in #2922";4.0;58;"won";"6.947 Eth";"$ 5,345.24";14
"2017-05-18 01:23:00";"Professional #2924";4.0;50;"won";"8.082 Eth";"$ 6,217.93";15
"2017-05-18 01:21:55";"All in #2922";2.0;81;"won";"2.475 Eth";"$ 1,904.24";16
"2017-05-18 01:20:48";"Professional #2924";2.0;50;"won";"4.041 Eth";"$ 3,108.96";17
"2017-05-18 01:20:23";"All in #2922";2.0;85;"won";"2.357 Eth";"$ 1,813.56";18
"2017-05-18 01:19:38";"Professional #2924";1.0;50;"won";"2.020 Eth";"$ 1,554.48";19
"2017-05-18 01:18:13";"Professional #2924";0.2;66;"won";"0.305 Eth";"$ 234.37";20
"2017-05-18 01:18:13";"All in #2922";2.0;83;"won";"2.415 Eth";"$ 1,857.80";21
"2017-05-18 01:15:22";"Professional #2924";1.0;51;"won";"1.980 Eth";"$ 1,523.39";22
"2017-05-18 01:12:58";"Professional #2924";0.2;66;"won";"0.305 Eth";"$ 234.37";23
"2017-05-18 00:53:58";"Legend #2941";10.0;90;"won";"11.124 Eth";"$ 8,558.38";24
"2017-05-18 00:51:19";"Legend #2941";1.0;88;"won";"1.138 Eth";"$ 875.51";25
"2017-05-18 00:47:42";"Legend #2941";0.5;88;"won";"0.569 Eth";"$ 437.76";26
"2017-05-18 00:45:58";"Legend #2941";0.5;88;"won";"0.569 Eth";"$ 437.76";27
"2017-05-18 00:03:26";"Professional #2664";0.5;71;"won";"0.707 Eth";"$ 544.07";28
"2017-05-18 00:00:22";"All in #2922";2.0;89;"won";"2.250 Eth";"$ 1,731.13";29
"2017-05-17 23:12:01";"Professional #2924";0.5;56;"won";"0.900 Eth";"$ 692.45";30
"2017-05-17 22:31:29";"Newbie #2940";0.2;51;"won";"0.396 Eth";"$ 304.68";31
"2017-05-17 22:26:48";"Professional #2939";12.0;62;"won";"19.475 Eth";"$ 14,984.19";32
"2017-05-17 22:25:05";"Professional #2939";4.0;62;"lost";"-";"-";33
"2017-05-17 22:25:05";"Professional #2926";2.54;60;"lost";"-";"-";34
"2017-05-17 22:21:56";"Professional #2939";2.0;58;"lost";"-";"-";35
"2017-05-17 22:21:02";"Professional #2926";2.31;91;"won";"2.541 Eth";"$ 1,955.02";36
"2017-05-17 22:20:46";"Legend #2838";0.2;88;"won";"0.228 Eth";"$ 175.10";37
"2017-05-17 22:20:01";"Professional #2939";2.0;88;"won";"2.276 Eth";"$ 1,751.03";38
"2017-05-17 22:14:25";"Professional #2926";5.0;94;"won";"5.323 Eth";"$ 4,095.14";39
"2017-05-17 22:12:27";"Professional #2926";0.2;25;"lost";"-";"-";40
"2017-05-17 22:10:53";"Professional #2926";1.95;89;"won";"2.194 Eth";"$ 1,687.85";41
"2017-05-17 22:09:01";"Professional #2926";1.72;88;"won";"1.957 Eth";"$ 1,505.88";42
"2017-05-17 22:00:56";"Professional #2926";1.46;85;"won";"1.721 Eth";"$ 1,323.90";43
"2017-05-17 21:54:02";"Professional #2926";1.0;51;"lost";"-";"-";44
"2017-05-17 21:42:29";"Professional #2926";2.0;89;"won";"2.250 Eth";"$ 1,731.13";45
"2017-05-17 21:39:38";"Legend #2838";0.484;49;"lost";"-";"-";46
"2017-05-17 21:37:51";"Professional #2939";0.7;74;"won";"0.949 Eth";"$ 730.39";47
"2017-05-17 21:29:36";"Legend #2838";0.227;46;"lost";"-";"-";48
"2017-05-17 21:27:26";"Legend #2838";0.2;65;"won";"0.309 Eth";"$ 238.03";49
"2017-05-17 21:20:31";"Professional #2939";1.0;47;"won";"2.152 Eth";"$ 1,655.86";50
"2017-05-17 21:19:57";"Professional #2926";2.0;89;"won";"2.250 Eth";"$ 1,731.13";51
"2017-05-17 21:09:07";"Intermediate #2914";1.0;51;"won";"1.980 Eth";"$ 1,523.39";52
"2017-05-17 21:09:07";"Lucky #2938";0.2;44;"won";"0.460 Eth";"$ 354.28";53
"2017-05-17 20:58:41";"Intermediate #2914";0.5;62;"lost";"-";"-";54
"2017-05-17 20:46:07";"Intermediate #2914";0.25;62;"won";"0.406 Eth";"$ 312.17";55
"2017-05-17 20:15:25";"Newbie #2937";0.3;26;"lost";"-";"-";56
"2017-05-17 20:10:52";"Newbie #2937";1.0;51;"lost";"-";"-";57
"2017-05-17 20:01:05";"Newbie #2937";0.2;52;"lost";"-";"-";58
"2017-05-17 19:58:32";"Newbie #2937";1.0;99;"won";"1.010 Eth";"$ 777.24";59
"2017-05-17 18:51:43";"Newbie #2936";0.2;50;"lost";"-";"-";60
"2017-05-17 18:50:22";"Newbie #2936";0.2;59;"lost";"-";"-";61
"2017-05-17 18:48:58";"Newbie #2936";0.2;51;"lost";"-";"-";62
"2017-05-17 18:48:04";"Newbie #2874";0.2;41;"lost";"-";"-";63
"2017-05-17 18:31:03";"Professional #2926";2.0;89;"lost";"-";"-";64
"2017-05-17 18:25:38";"Professional #2906";0.8;51;"lost";"-";"-";65
"2017-05-17 18:22:26";"Professional #2906";0.3;51;"lost";"-";"-";66
